,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
Taj Gibson 2014,5.875,5.971,-1.560,4.170,-2.112,1.149,-0.194,-1.154,-1.117,2.393,0.736,0.281,0.455,0.603,0.060,-0.278,-2.433,0.874,0.567,-1.059,0.154,-1.602,0.770,-1.735
Manu Ginóbili 2014,2.630,-2.866,0.227,-2.642,2.575,1.544,-1.659,0.824,0.023,-0.272,0.183,-0.314,-0.157,-1.233,1.025,-0.364,0.979,1.179,1.256,-1.040,-0.310,-0.916,-0.018,-0.689
Archie Goodwin 2014,-6.961,1.247,-2.349,-1.124,0.563,-0.597,-0.118,-1.073,1.005,0.342,0.328,-0.335,-0.297,-0.366,-1.053,1.932,-0.637,-0.514,0.230,-0.640,0.646,0.911,0.811,0.175
Eric Gordon 2014,1.689,-4.152,-1.392,-0.583,-0.397,-1.634,0.633,-1.421,0.861,-0.396,-0.954,-0.236,0.441,-0.555,-0.373,-0.339,-0.229,0.090,0.385,-0.073,-0.243,0.738,-0.373,1.022
Marcin Gortat 2014,7.826,6.681,1.152,3.502,-2.000,0.597,-2.251,1.769,2.307,-0.525,3.231,-2.581,-1.858,1.988,1.681,-0.992,-1.449,-0.040,-0.740,-1.786,-1.336,0.144,0.478,1.554
Danny Granger 2014,-5.034,-0.727,-0.459,0.857,1.610,-1.012,2.338,0.975,-0.252,-0.450,1.680,0.311,-0.100,-0.302,-0.274,-0.314,-0.723,0.470,-0.066,-0.075,-0.521,0.349,-0.424,-0.262
Danny Green 2014,-0.849,-2.874,4.895,-1.230,0.185,2.219,0.144,1.739,0.727,0.684,0.755,0.015,1.322,-0.771,-0.545,0.776,0.063,-0.101,-0.209,0.014,0.318,0.547,-0.113,0.290
Draymond Green 2014,-0.217,1.406,1.760,-2.917,-2.928,3.930,1.606,0.831,0.822,0.408,0.572,0.053,-0.826,-0.358,-1.681,0.807,-0.402,-0.819,0.899,0.105,-0.542,-0.615,0.519,-0.696
Gerald Green 2014,4.018,-5.399,3.458,0.457,-0.197,-0.120,-0.221,-0.321,-1.495,1.636,-0.150,-0.087,0.600,-0.043,-0.117,-0.401,0.852,-1.970,1.022,-0.419,0.160,-0.709,-0.013,0.060
Jeff Green 2014,4.776,-2.608,1.006,1.366,-2.567,-2.765,0.717,-1.384,-0.703,0.568,1.105,-0.161,0.314,-1.854,0.130,-0.086,0.413,-0.139,0.624,0.555,0.549,0.358,-0.554,0.643
Willie Green 2014,-6.839,-1.456,0.558,1.534,-0.558,0.548,0.248,-0.543,0.483,-0.213,0.051,-0.229,0.494,-1.105,0.474,-0.845,0.262,1.529,-0.289,0.557,0.157,-1.046,0.056,-0.253
Blake Griffin 2014,16.704,4.223,-1.510,2.295,-0.800,0.382,1.432,-4.076,1.784,-3.125,0.081,-1.258,-0.623,-1.616,-0.359,-0.749,1.122,1.022,0.039,1.443,-0.785,-0.034,0.901,-2.851
Jordan Hamilton 2014,-4.893,-1.073,0.854,-0.043,1.663,0.130,0.733,1.942,1.875,-0.366,0.342,1.851,-0.342,0.810,-1.086,1.201,0.100,1.007,0.017,0.144,0.191,0.653,-0.200,-0.034
Tyler Hansbrough 2014,-3.059,6.903,-0.982,-1.854,1.759,-1.305,-0.138,-2.281,-2.401,0.758,-0.984,2.209,-2.163,-2.413,-1.420,-0.600,1.138,-0.458,-1.070,-0.479,-0.322,-0.247,1.152,0.763
Tim Hardaway Jr. 2014,-2.461,-4.157,2.940,1.189,-0.214,-1.394,0.047,-3.013,0.246,0.585,-0.466,0.005,0.359,0.654,-0.543,0.712,-0.942,-0.447,0.566,0.411,-1.141,-1.040,0.743,0.088
James Harden 2014,12.785,-5.973,-0.153,-4.312,3.277,-0.758,0.578,-2.186,-1.140,1.356,-0.118,-0.556,-2.257,-1.172,-1.464,-0.419,0.621,-0.183,-0.776,1.287,0.165,0.239,-0.465,-0.118
Maurice Harkless 2014,-1.695,0.218,0.812,-3.058,-2.086,1.004,0.201,-1.490,2.008,0.707,-0.032,0.180,-0.069,0.483,-0.803,0.207,0.101,-0.197,0.485,-0.430,0.734,1.298,0.018,0.303
Al Harrington 2014,-6.665,-0.586,0.106,0.193,0.540,-1.698,1.794,0.559,0.162,-0.641,-0.076,-0.133,-0.999,-0.553,1.448,-0.657,-0.475,0.949,1.109,-0.153,-1.188,-0.277,-0.631,-0.816
Devin Harris 2014,-3.707,-2.834,-3.638,-2.281,2.481,-0.368,0.434,0.019,-0.595,-0.197,0.745,-0.297,-0.399,0.040,-0.094,-1.204,-0.247,0.037,-0.184,0.092,-0.232,-0.224,1.028,-0.239
Tobias Harris 2014,2.790,1.802,-0.546,2.278,0.155,-1.382,1.191,-1.149,0.867,-0.487,0.159,-0.034,-0.754,0.505,0.394,0.368,0.525,-1.057,0.071,1.716,0.348,0.104,0.437,-0.213
Udonis Haslem 2014,-6.123,4.727,-0.461,1.734,0.776,0.786,2.752,-2.390,-2.757,-0.604,-1.336,1.207,0.837,-0.849,1.253,0.459,-1.269,1.112,-0.183,0.367,-0.142,-0.451,0.560,0.369
Spencer Hawes 2014,2.624,1.692,2.041,0.623,-1.260,-1.677,1.241,3.809,-0.627,-0.137,0.259,-1.925,0.182,0.604,0.579,0.689,-0.674,0.043,-0.290,-0.561,-0.517,1.016,0.133,0.088
Chuck Hayes 2014,-6.468,4.618,-2.520,-1.046,0.470,0.802,-0.631,1.998,-1.481,-1.933,-0.848,2.111,-0.294,-3.877,-2.704,1.752,-3.899,-2.801,0.441,-0.154,0.207,1.678,1.629,-0.139
Gordon Hayward 2014,6.129,-3.506,-2.248,0.143,-1.918,1.033,2.213,-1.668,-0.599,-0.050,-0.268,-0.761,-0.228,-0.772,-0.369,0.651,0.847,0.581,-0.330,1.282,0.434,0.643,0.304,1.160
Gerald Henderson 2014,3.808,-1.503,-2.345,5.430,-1.964,1.984,1.214,-2.571,-0.198,1.270,1.023,-0.248,-0.504,-0.229,0.958,-0.392,0.189,-0.181,-0.832,0.212,0.322,0.528,0.056,-0.527
Xavier Henry 2014,-3.412,-0.701,-2.637,-0.322,0.393,-1.372,2.265,-1.305,1.917,0.432,-0.341,0.491,-1.244,-1.476,-1.212,-0.224,0.804,-0.466,-0.211,-0.093,0.545,0.132,0.584,0.418
John Henson 2014,3.104,7.890,-1.215,0.236,-1.401,-2.049,-2.385,1.731,0.624,0.787,-0.340,-0.261,2.393,-1.058,-1.961,0.023,-0.521,0.966,-0.122,0.632,0.002,-1.225,1.053,0.326
Roy Hibbert 2014,5.628,7.575,-0.576,3.233,-4.766,-0.214,-1.924,3.068,0.186,1.978,2.974,-1.801,-0.346,-1.447,-3.798,-2.705,-0.144,0.915,-0.415,0.099,-1.736,0.563,0.293,0.621
J.J. Hickson 2014,3.778,7.291,-1.499,0.274,-1.385,-2.001,0.032,-0.367,-0.762,0.054,-0.955,1.068,-0.574,0.193,1.330,0.325,-0.715,0.478,-0.421,0.756,0.496,-0.944,0.692,-0.147
Nenê 2014,4.078,2.818,-3.156,3.072,-0.353,2.289,2.539,0.097,1.003,1.303,-0.627,-1.099,-1.538,-1.133,1.107,-1.084,-0.792,-0.438,0.693,-0.695,-0.500,-0.286,-0.388,-0.561
George Hill 2014,1.884,-2.868,1.259,-1.956,-0.373,2.157,-2.131,-0.233,0.056,-0.070,1.062,0.418,0.152,-0.091,-0.072,-0.827,0.547,-0.987,-1.137,1.019,0.334,0.661,-0.345,-0.457
Jordan Hill 2014,2.056,7.586,-0.531,1.635,0.692,-1.362,-1.977,0.342,-1.414,-0.264,-0.944,1.035,0.297,0.422,-1.120,-0.154,0.021,-0.503,-0.024,0.786,-0.087,-1.259,0.614,0.534
Kirk Hinrich 2014,-0.310,-4.061,-1.064,-0.980,-3.070,2.919,1.144,-0.051,-1.311,-0.930,0.392,0.017,1.265,-1.424,-1.028,-1.714,0.667,-0.602,0.414,0.430,-0.482,0.125,0.007,-0.353
Jrue Holiday 2014,0.558,-2.934,-6.204,-1.264,0.773,0.439,1.483,2.527,0.740,-0.690,-2.069,-0.823,1.557,1.443,0.272,-0.061,0.154,-0.762,-0.453,0.023,-0.435,0.061,-0.493,0.199
Al Horford 2014,2.833,3.775,-1.647,3.646,3.492,1.047,3.221,2.186,2.000,-1.466,-0.979,-1.712,2.141,0.459,0.336,0.083,0.829,-0.342,0.245,0.356,0.656,0.589,-0.237,1.117
Dwight Howard 2014,11.165,9.284,-0.635,-3.581,-0.922,-3.466,1.059,0.278,0.761,-1.635,2.337,-2.918,-2.419,-2.426,-1.688,-1.652,-0.795,-0.810,0.737,0.872,1.455,-0.066,0.867,0.746
Robbie Hummel 2014,-7.178,-0.846,0.696,1.901,0.908,0.681,0.546,-0.407,0.161,-1.162,0.854,0.838,-0.723,2.809,-0.310,0.362,0.461,0.443,0.533,2.275,-0.804,-0.900,-0.775,0.516
Kris Humphries 2014,0.818,4.928,-0.998,4.186,1.219,3.090,1.318,-0.975,-2.567,0.890,-0.312,1.277,0.614,1.043,-0.406,0.399,-0.569,-0.570,-0.315,0.071,0.508,-1.277,0.242,-0.149
Serge Ibaka 2014,9.679,6.686,2.843,6.846,-2.588,3.859,1.972,-0.811,0.205,1.161,2.136,-2.824,3.813,2.227,-1.367,-1.185,-0.606,0.448,-0.686,-1.242,-0.735,-0.115,1.063,-0.109
Andre Iguodala 2014,0.581,-1.513,0.342,-3.121,0.297,3.419,-0.212,0.189,0.918,-0.783,0.205,-0.108,-0.273,-0.137,1.735,-0.352,-0.581,-0.353,-0.207,1.123,0.421,1.389,-0.092,0.392
Ersan İlyasova 2014,-0.652,1.152,0.036,3.314,-1.417,-0.810,3.138,-1.062,-0.092,-1.740,-1.872,1.050,-0.663,0.367,0.190,0.122,0.409,0.046,-0.902,-0.729,-0.075,-0.833,-0.221,0.324
Kyrie Irving 2014,8.480,-5.785,-2.950,0.075,0.388,0.961,0.573,-1.283,0.041,1.019,-1.042,0.445,0.558,0.739,-0.572,0.702,0.133,-0.174,-0.656,-0.048,-0.436,-0.244,-0.757,-0.239
Jarrett Jack 2014,-0.131,-3.402,-2.953,2.361,-1.620,1.589,-1.473,0.047,-1.573,0.076,0.945,-0.354,0.200,-0.533,0.019,-0.249,0.874,0.025,-0.669,0.153,0.538,-0.654,0.079,0.673
Reggie Jackson 2014,3.465,-3.282,-2.401,-1.228,-1.206,-0.181,-2.037,-0.166,0.296,-0.588,0.436,0.435,0.182,0.414,0.092,1.150,0.222,-0.325,0.811,0.222,0.045,0.583,-0.104,-0.311
LeBron James 2014,17.149,-2.026,-0.220,-3.038,4.593,1.025,-0.921,-2.736,1.074,-2.613,0.613,-0.543,0.295,-1.481,1.327,1.308,0.674,0.744,0.733,0.751,1.080,0.949,-2.075,-1.699
Al Jefferson 2014,13.383,6.031,-1.314,7.921,-1.890,0.157,-1.941,3.150,2.990,-1.642,1.576,1.711,-0.502,-0.253,0.685,-0.198,-0.263,1.598,-0.086,-0.338,-1.150,0.225,1.139,-1.583
Richard Jefferson 2014,-0.930,-3.186,2.231,0.082,-1.039,-0.592,-0.731,-1.096,-0.864,-0.311,0.279,-0.649,-0.013,-1.172,1.301,-1.321,0.520,-0.637,0.877,0.953,-0.220,0.354,-0.821,1.063
Brandon Jennings 2014,4.717,-7.154,-2.746,-2.590,-1.783,-1.243,-0.164,-1.313,-1.732,-0.379,-0.831,0.203,0.976,-0.353,-0.763,0.763,-0.354,0.711,-1.125,0.183,-0.540,-0.610,-0.187,1.365
Jonas Jerebko 2014,-5.638,1.475,0.966,-0.271,1.408,-0.194,0.146,-0.953,-0.167,-1.087,0.568,-0.536,-1.112,-0.257,0.630,1.147,0.584,-0.381,0.198,-0.622,-0.689,0.044,0.458,0.487
Amir Johnson 2014,3.838,5.866,1.587,0.127,-2.339,0.566,-2.548,1.176,0.730,-1.078,-1.394,-2.386,0.439,0.143,-1.263,-1.728,0.819,0.077,0.062,0.425,-0.305,0.334,0.485,-0.567
Chris Johnson 2014,-6.205,-1.155,1.557,-0.688,1.401,-0.442,0.217,-0.273,1.822,0.366,-0.488,0.591,-0.312,1.269,0.402,-0.502,1.376,1.030,-0.935,0.513,0.165,-0.132,-0.163,-0.971
James Johnson 2014,-1.683,1.920,-0.492,-2.686,2.485,2.408,0.490,1.392,0.810,1.238,0.091,-1.115,0.361,1.738,-1.981,-0.730,1.029,1.129,2.160,-0.132,-0.439,0.974,-1.219,-0.354
Joe Johnson 2014,4.322,-4.646,1.084,3.175,0.254,-2.090,-4.301,1.538,-0.778,0.226,0.712,0.887,-0.149,-1.084,0.876,-0.702,0.772,-0.455,0.558,1.140,-1.057,1.052,-0.273,1.409
Wesley Johnson 2014,-0.553,-0.506,3.308,0.425,-3.606,1.487,1.010,0.044,0.505,0.775,-1.048,-0.668,1.257,-0.405,0.102,-0.133,0.416,0.477,-0.722,-0.545,0.739,-0.812,-0.205,0.577
Perry Jones 2014,-6.485,1.500,1.389,1.496,1.380,0.176,-1.161,-0.681,0.849,-0.100,1.084,-0.528,-0.241,-0.821,-0.773,1.152,1.292,-0.145,-1.014,0.423,0.324,0.127,-1.618,0.005
Terrence Jones 2014,4.081,5.510,2.185,-1.028,0.093,-1.018,-1.454,-0.683,2.428,-1.083,1.270,-0.319,1.326,0.826,-0.959,-0.006,-0.538,0.381,0.263,0.685,-0.226,0.785,-0.962,0.740
DeAndre Jordan 2014,8.322,12.905,3.333,-5.828,-1.932,0.586,0.227,-0.969,-1.100,1.331,1.412,-0.096,1.416,2.669,0.595,-2.325,1.213,1.016,-1.289,0.787,3.129,-0.045,0.107,-0.184
Cory Joseph 2014,-3.730,-0.174,-2.136,-0.087,1.906,2.539,-1.170,-1.844,1.031,-0.263,0.937,-0.261,0.022,0.144,-1.483,0.358,0.703,-1.240,-0.085,0.531,-0.105,0.280,0.236,0.332
Chris Kaman 2014,-0.957,5.288,-2.868,3.960,1.754,-0.231,0.464,3.361,-1.807,2.247,-0.921,-0.378,0.156,-0.446,1.755,0.946,-1.355,-0.128,0.842,0.303,0.173,-0.712,-0.575,-0.253
Enes Kanter 2014,3.697,5.948,-2.618,4.170,-2.879,-3.017,-1.291,-0.534,-1.690,0.111,-1.386,0.697,-0.318,0.996,0.351,0.641,-0.659,-0.947,0.302,0.023,-0.706,-1.537,-0.061,-0.975
Ryan Kelly 2014,-2.611,0.762,1.071,0.706,0.207,-0.352,0.630,0.087,0.230,1.385,0.575,-1.328,-0.799,-0.337,-0.790,-0.144,-0.047,-1.415,-0.751,0.865,-0.107,-0.485,-0.509,0.076
Michael Kidd-Gilchrist 2014,-1.683,4.312,-1.099,-1.182,-1.495,0.004,2.044,-2.777,0.698,-0.350,0.678,0.226,0.035,-0.955,-0.959,-0.006,0.041,-1.655,-0.921,0.206,0.289,1.120,-0.300,-0.179
Andrei Kirilenko 2014,-4.387,3.396,-2.350,-2.964,1.550,0.928,1.087,-1.536,0.747,0.491,0.407,0.116,-0.828,-2.588,1.152,-0.815,1.308,0.445,-0.094,-1.194,0.214,1.516,0.855,1.121
Brandon Knight 2014,4.703,-4.924,-2.739,-0.265,-0.777,-2.534,0.495,-1.875,-0.577,-0.366,-0.732,-0.710,0.976,-0.187,-0.689,0.531,0.366,0.196,-0.038,0.118,0.494,0.003,-0.413,0.480
Kyle Korver 2014,0.674,-4.991,6.034,1.200,0.210,2.633,0.143,0.737,-2.007,-0.607,-1.789,-1.066,0.239,-0.849,0.651,-0.473,1.172,-0.071,-1.460,-0.113,0.592,0.546,0.262,0.326
Kosta Koufos 2014,-0.429,8.147,0.113,0.825,-1.201,-0.926,-2.376,1.035,-0.676,0.209,-1.337,1.405,0.645,-0.491,-2.594,0.721,0.066,1.337,0.495,0.152,-0.827,-0.470,0.213,-0.088
Doron Lamb 2014,-8.331,-2.597,-0.804,1.054,0.196,-1.044,-0.390,-0.856,-0.646,-0.183,0.842,-0.267,-1.464,1.926,-1.969,-0.746,-0.517,0.930,-1.144,-0.372,0.039,1.059,0.105,-0.816
Jeremy Lamb 2014,-1.630,-2.242,1.257,1.071,-0.385,1.017,-1.399,-0.296,1.447,0.913,0.113,0.127,0.433,0.787,-0.296,1.357,-0.204,-0.421,0.639,0.330,-0.340,-0.829,0.598,-0.480
Ty Lawson 2014,5.940,-5.315,-5.275,-2.864,1.968,1.130,0.387,-1.444,-0.857,-0.120,-0.325,-0.823,-0.843,-0.314,-0.556,-0.655,1.007,0.193,-1.886,0.493,0.561,-0.433,-0.696,0.942
Courtney Lee 2014,-0.799,-1.991,0.371,2.644,1.266,2.104,0.162,-0.345,1.053,-0.052,-0.402,-0.006,0.607,-0.103,-0.139,-1.027,-0.087,-0.675,-0.551,0.264,0.188,0.839,0.078,-0.290
David Lee 2014,8.794,6.888,-1.460,0.853,-0.891,-2.639,-2.102,-0.270,0.880,-2.807,-1.179,0.933,0.140,-1.558,0.603,-1.029,-1.415,1.168,0.374,1.361,-0.323,0.157,0.587,-2.543
Kawhi Leonard 2014,4.789,0.171,1.902,-0.661,0.705,4.155,-0.456,1.294,2.943,-0.286,-0.294,1.236,0.069,1.054,-0.306,0.693,0.135,-1.442,0.452,0.534,0.640,1.545,-0.044,-0.273
Jon Leuer 2014,-3.897,2.050,0.615,2.280,3.070,0.871,0.017,0.553,1.173,-0.775,0.200,-0.013,-0.880,0.631,-0.431,1.456,1.274,-0.605,0.402,-0.198,-0.300,-0.109,-0.359,0.719
Rashard Lewis 2014,-5.491,-1.163,1.772,-0.724,0.627,1.970,-1.400,1.342,1.559,0.130,-0.359,0.919,-1.046,-0.794,1.082,-0.906,1.303,1.142,0.749,0.138,0.226,-0.510,-0.521,-0.200
Damian Lillard 2014,8.605,-7.269,1.162,-2.340,0.615,-1.952,-0.219,-2.415,-2.290,0.156,0.011,-0.326,0.529,0.192,-1.893,0.206,-0.513,0.124,-0.479,0.217,-1.108,0.716,-0.408,-0.304
Jeremy Lin 2014,1.810,-2.965,-1.694,-2.457,-0.244,-0.556,-0.879,-0.783,-0.377,0.111,0.039,-1.850,-0.312,-1.540,-1.045,-0.439,0.317,-0.604,-0.207,0.108,-0.140,-0.084,0.613,0.052
Shaun Livingston 2014,1.365,1.076,-4.195,-0.892,-0.449,2.460,-3.432,0.113,0.946,2.250,0.224,0.681,-1.956,0.189,0.746,-1.413,-0.302,-1.280,-0.732,-0.531,0.060,0.343,-0.447,0.281
Brook Lopez 2014,2.032,5.602,-2.229,2.135,6.943,-2.314,2.388,1.599,0.685,2.199,-2.242,-0.694,1.276,-1.176,-2.206,-1.924,-0.109,-1.783,0.198,1.816,0.265,0.371,-0.926,0.116
Robin Lopez 2014,5.519,9.519,1.788,0.559,-0.286,-0.850,-2.156,-1.567,-1.273,0.007,0.368,0.252,1.087,1.190,-1.829,-1.680,-2.288,-0.009,-1.650,0.301,-0.391,-0.583,-1.515,0.065
Kevin Love 2014,15.988,-0.436,4.282,-0.756,3.542,-1.925,1.204,0.099,-1.653,-2.553,1.930,1.640,-2.246,0.255,-0.602,1.762,0.640,0.966,-2.032,1.103,0.157,0.036,1.109,0.189
Kyle Lowry 2014,9.191,-6.072,0.934,-4.826,0.078,0.804,-1.393,0.168,-1.628,-0.576,-0.877,0.405,-0.413,-0.629,-1.495,-0.859,1.014,-0.806,-1.489,0.670,-1.573,-1.068,0.002,-0.289
John Lucas III 2014,-8.871,-3.074,-2.406,1.636,-0.772,-0.925,-0.036,-0.610,1.076,-0.462,1.618,0.511,0.898,-0.497,1.155,-0.219,-2.307,0.147,-0.272,1.130,-0.082,-1.884,1.009,1.222
Shelvin Mack 2014,-2.643,-3.065,-1.724,-0.550,-0.198,0.528,-1.471,-0.247,-0.315,-0.703,-0.246,-0.177,0.084,1.074,-0.507,1.077,0.084,0.892,-0.046,0.132,-0.312,-0.035,0.219,-0.297
Ian Mahinmi 2014,-3.350,6.925,-0.068,-2.271,-0.758,2.165,0.317,-1.798,-2.350,3.154,-1.050,0.090,-1.183,-1.619,-1.975,-1.129,0.704,0.424,0.016,-0.805,0.189,0.315,-0.687,-1.079
Shawn Marion 2014,2.161,2.535,1.992,0.919,-2.090,0.208,-3.133,1.929,2.252,-1.321,-0.602,1.358,-0.637,-0.601,2.261,-0.617,-1.032,1.993,-0.613,-0.855,-0.365,-0.053,0.062,1.530
Kendall Marshall 2014,-2.837,-5.107,-4.180,-2.400,-1.085,-0.146,0.014,1.423,-2.086,-1.898,-0.262,-2.542,1.305,1.282,0.763,1.627,0.295,1.036,-1.744,-0.466,-0.823,0.622,-0.703,0.656
Cartier Martin 2014,-5.987,-1.570,2.018,0.833,1.247,0.258,1.081,-0.654,0.562,-0.218,-0.062,-0.296,-1.120,-0.106,0.480,-0.137,-0.646,1.044,0.392,0.484,-0.222,-0.187,0.349,-0.023
Kenyon Martin 2014,-5.180,4.691,-1.242,-0.873,1.136,2.657,1.930,1.122,-1.052,0.572,-2.033,0.681,1.448,-1.521,0.965,-0.660,-1.711,0.514,0.560,0.608,-1.259,-0.463,-0.307,0.251
Kevin Martin 2014,4.694,-3.755,0.272,2.885,0.920,-0.938,0.148,-2.223,1.192,1.051,-0.067,0.803,-0.900,-1.862,0.940,-0.906,-0.265,-0.300,-0.441,-0.292,0.291,0.330,-0.118,0.180
Wesley Matthews 2014,4.876,-5.431,4.498,-0.289,0.166,-0.635,-1.128,-1.419,-0.580,0.707,-0.345,0.638,-0.623,-0.561,-0.164,-0.494,-0.399,-0.597,-0.362,0.296,-0.602,0.851,-0.090,0.204
O.J. Mayo 2014,-2.735,-3.649,-1.167,2.087,-0.529,-2.107,0.771,0.244,-0.831,0.683,-0.782,-0.789,0.550,0.684,0.226,-0.405,0.178,0.342,-0.066,-0.543,0.098,-0.364,0.037,0.057
Luc Mbah a Moute 2014,-7.178,1.931,-1.615,-0.249,-0.292,-0.095,1.165,-2.544,0.285,-1.205,1.683,0.468,0.284,-2.387,-0.020,0.670,-0.390,-0.828,-0.479,-1.252,-0.070,1.259,-0.742,0.114
Ray McCallum 2014,-5.711,-1.874,-3.378,1.163,-0.415,-0.190,0.593,-0.825,0.874,-0.308,0.663,-0.088,1.194,1.061,-0.389,0.189,0.534,0.660,-0.718,0.811,-0.686,-0.253,-0.318,0.402
Ben McLemore 2014,-2.542,-2.552,1.199,0.726,-3.981,-1.711,0.682,-2.213,-0.436,0.446,-0.511,-0.702,0.352,0.193,-0.454,0.012,0.108,-0.059,-0.199,0.877,-0.374,0.000,0.931,-0.100
Josh McRoberts 2014,0.633,-0.883,3.943,-1.584,-1.134,1.992,-0.696,0.877,-1.137,-0.852,-0.334,-1.210,0.011,1.063,-0.222,-0.022,0.283,0.945,-0.983,0.996,-0.806,0.714,-1.798,-0.463
Jodie Meeks 2014,2.293,-4.207,3.330,-1.064,-0.372,-1.104,-0.670,-2.490,2.006,0.390,-1.872,0.367,-0.407,-1.807,0.893,0.030,-0.559,0.571,-0.390,-0.270,0.405,0.466,0.002,0.990
Khris Middleton 2014,1.670,-2.910,1.329,3.332,-3.672,0.709,0.576,-0.856,-0.611,0.676,-2.287,-0.461,-0.652,0.564,-0.038,-0.049,0.545,-0.842,-0.574,-0.965,-1.127,-0.128,0.469,-0.190
C.J. Miles 2014,-2.631,-2.174,2.439,0.250,1.895,1.059,0.503,0.623,1.673,0.259,-1.593,0.358,-0.067,-0.318,-1.100,-0.245,0.648,0.505,-0.472,-0.513,-0.048,-0.584,-0.051,-0.325
Andre Miller 2014,-4.876,-0.530,-4.057,-0.844,3.192,0.756,-1.086,1.055,0.160,-1.148,1.525,-0.403,-0.205,0.118,0.375,-2.054,-0.115,0.498,0.335,-0.845,-0.485,1.700,0.577,1.104
Darius Miller 2014,-6.732,-1.372,-0.355,1.740,0.955,1.313,-0.466,0.114,0.727,0.080,-0.676,-1.462,-0.465,0.238,-1.147,-0.527,-0.027,-1.408,-0.044,2.170,0.375,-0.658,-0.262,-0.276
Mike Miller 2014,-3.151,-3.036,3.026,1.334,1.186,1.571,-0.632,-0.863,-2.033,-2.099,0.846,-1.109,0.169,-0.085,0.240,-0.042,0.481,0.203,0.970,0.460,-0.576,0.291,0.386,0.239
Quincy Miller 2014,-6.293,0.488,-0.934,0.058,-1.072,-1.046,1.357,0.185,0.430,0.893,1.846,0.363,0.438,-0.044,-0.790,1.188,0.652,0.063,-0.728,-0.746,0.471,-0.074,-0.774,0.298
Patty Mills 2014,0.088,-4.709,2.680,-0.110,2.108,2.695,-1.253,-1.315,0.922,-0.673,-0.140,1.233,2.008,0.172,-0.706,1.135,1.380,-0.600,0.749,0.027,0.279,-0.587,1.570,-0.548
Paul Millsap 2014,9.796,2.318,0.532,-1.148,-2.203,0.149,0.295,1.594,2.218,-0.377,-0.122,0.547,-1.441,-1.327,-0.364,-0.548,0.422,1.063,0.212,-0.445,0.585,-0.102,0.417,0.190
Nazr Mohammed 2014,-6.862,5.100,-2.128,0.402,-0.160,1.841,-0.806,0.381,-3.436,1.206,0.671,2.104,0.079,-1.599,-0.120,1.254,-0.551,1.001,0.768,-1.474,0.588,-0.425,-0.415,0.850
Greg Monroe 2014,7.871,6.778,-1.973,-0.957,-2.655,-2.667,-1.333,-1.398,0.671,-1.518,-1.063,1.751,-0.411,0.100,0.336,-0.189,-0.677,0.858,0.343,1.509,0.160,0.020,-0.866,-0.598
E'Twaun Moore 2014,-3.902,-2.134,-0.629,0.442,-0.842,0.922,-2.084,-0.379,1.427,0.010,0.370,0.801,-0.120,-0.135,-1.365,0.294,0.266,-0.304,-0.024,-0.384,0.876,-0.106,0.183,-0.042
Marcus Morris 2014,0.163,-1.864,1.388,0.886,-0.164,1.271,-0.033,-0.661,-0.144,0.865,0.210,0.744,-1.467,1.422,0.477,0.718,0.608,-1.209,1.200,-0.074,-0.115,-0.451,0.171,-0.044
Markieff Morris 2014,5.606,2.053,-0.969,2.497,-0.350,1.188,-0.149,-1.039,-0.116,1.249,0.392,-0.611,-2.362,0.916,0.063,-0.121,0.224,-1.524,0.678,-0.512,-0.425,-1.124,0.501,-1.076
Anthony Morrow 2014,-2.632,-2.488,1.135,3.808,0.989,0.451,-2.029,-0.428,0.219,0.364,-0.136,0.368,-0.636,0.371,-0.476,-0.286,0.769,0.048,-0.385,-1.024,0.166,-0.814,0.164,0.592
Donatas Motiejūnas 2014,-4.498,3.397,0.578,0.947,-0.537,-1.877,-1.457,0.784,0.233,0.283,-0.917,-0.674,-1.984,-0.104,-1.021,0.250,1.628,1.423,0.051,0.728,-0.193,0.632,0.061,-0.268
Timofey Mozgov 2014,2.124,7.874,1.183,-0.254,-0.867,-1.642,-0.672,-0.583,-0.653,-0.008,0.532,-2.228,-1.118,-0.974,-1.322,-0.634,0.377,0.738,0.616,-0.462,-0.024,0.102,-0.308,0.215
Gary Neal 2014,-4.905,-3.506,-2.470,4.218,1.851,-2.668,0.089,0.377,-0.581,-0.124,0.259,0.286,0.301,0.404,0.150,-0.379,-0.104,0.962,-0.545,-0.466,0.470,-0.428,0.119,0.285
Jameer Nelson 2014,0.498,-5.933,-1.247,-2.546,-0.965,-1.203,-1.195,1.088,-2.700,-0.991,-0.318,-0.870,1.653,0.301,1.217,-0.181,0.234,0.892,-0.764,0.146,-0.040,-0.416,-0.291,0.287
Andrew Nicholson 2014,-4.247,1.245,-0.605,3.931,-1.960,-0.397,0.248,-0.257,-0.892,-1.030,0.932,-0.473,0.151,-0.384,-0.804,0.922,1.411,-1.222,1.540,1.927,-0.474,-0.481,0.130,0.424
Joakim Noah 2014,10.088,7.689,-0.701,-3.507,-2.253,3.802,1.257,0.367,-1.805,-2.186,0.308,0.567,0.749,-0.250,-1.958,-0.200,-1.068,1.576,-1.420,1.208,0.073,-0.345,0.101,-1.033
